age,job,marital,education,default,balance,housing,loan,y
Adult,Blue-Collar,married,secondary,no,Low-Medium,yes,no,no
Adult,White-Collar,married,secondary,no,Low-Medium,no,no,no
Young,Blue-Collar,single,secondary,no,Low-Medium,yes,no,no
Adult,White-Collar,married,secondary,no,Low-Medium,yes,no,no
Adult,White-Collar,married,secondary,no,Low-Medium,no,no,no
Young,Blue-Collar,married,secondary,no,Low-Medium,yes,yes,no
Young,White-Collar,single,secondary,no,Low-Medium,no,yes,yes
Adult,Blue-Collar,divorced,secondary,no,Low-Medium,no,no,no
Adult,White-Collar,married,secondary,no,Low-Medium,no,no,no
Adult,Blue-Collar,single,primary,no,Low-Medium,yes,no,no
Adult,White-Collar,married,secondary,no,Low-Medium,no,yes,no
Adult,White-Collar,married,secondary,no,Low-Medium,yes,yes,no
Adult,Not-Working,married,secondary,no,Low-Medium,yes,no,no
Adult,White-Collar,single,tertiary,no,Low-Medium,no,no,no
Adult,Blue-Collar,married,primary,no,Low-Medium,yes,no,no
Young,White-Collar,single,secondary,no,Low-Medium,yes,no,no
Adult,White-Collar,divorced,tertiary,no,Low-Medium,yes,no,no
Adult,Blue-Collar,married,primary,no,Low-Medium,no,no,no
Senior,Blue-Collar,married,primary,no,Low-Medium,no,no,no
Adult,White-Collar,married,secondary,no,Negative,yes,no,no
Adult,Blue-Collar,married,secondary,no,Low-Medium,yes,no,no
Adult,White-Collar,married,secondary,no,Low-Medium,no,yes,no
Adult,White-Collar,single,secondary,no,Low-Medium,yes,no,no
Adult,Blue-Collar,married,secondary,no,Low-Medium,no,no,no
Adult,Blue-Collar,married,primary,no,Low-Medium,yes,yes,no
Adult,Blue-Collar,married,secondary,no,Low-Medium,yes,no,no
Adult,Blue-Collar,single,secondary,no,Low-Medium,yes,no,no
Adult,Blue-Collar,married,primary,no,Low-Medium,no,no,no
Adult,Blue-Collar,married,secondary,no,Negative,yes,no,no
Adult,White-Collar,married,tertiary,no,Low-Medium,no,no,no
Adult,White-Collar,married,secondary,no,Low-Medium,no,no,no
Adult,White-Collar,divorced,secondary,no,Low-Medium,no,no,no
Young,White-Collar,single,tertiary,no,Low-Medium,yes,no,no
Adult,Blue-Collar,married,primary,no,Low-Medium,yes,no,yes
Adult,Blue-Collar,married,secondary,no,Low-Medium,yes,no,no
Adult,White-Collar,married,Unknown,no,Low-Medium,yes,no,no
Adult,White-Collar,single,tertiary,no,Low-Medium,yes,no,no
Adult,Blue-Collar,divorced,primary,no,Low-Medium,yes,no,no
Adult,White-Collar,single,secondary,no,Low-Medium,no,no,no
Adult,White-Collar,married,tertiary,no,Low-Medium,no,no,no
Adult,White-Collar,married,secondary,no,Low-Medium,yes,no,no
Adult,Blue-Collar,married,primary,no,Low-Medium,no,yes,no
Adult,White-Collar,single,tertiary,no,Low-Medium,yes,no,no
Adult,Self-Employed,single,tertiary,no,Low-Medium,yes,no,no
Adult,White-Collar,married,secondary,no,Low-Medium,yes,no,no
Adult,Blue-Collar,married,primary,no,Low-Medium,yes,no,no
Adult,Blue-Collar,married,secondary,no,Low-Medium,yes,no,no
Adult,Blue-Collar,married,secondary,no,High,no,no,no
Adult,Blue-Collar,married,primary,no,Low-Medium,yes,no,yes
Adult,White-Collar,married,tertiary,no,Low-Medium,no,no,no
Adult,Not-Working,divorced,tertiary,no,Low-Medium,yes,no,no
Adult,Blue-Collar,married,tertiary,no,Low-Medium,no,no,no
Adult,White-Collar,married,secondary,yes,Low-Medium,no,no,no
Adult,Blue-Collar,divorced,secondary,no,Low-Medium,yes,no,no
Adult,Blue-Collar,married,secondary,no,Low-Medium,no,no,no
Young,Blue-Collar,single,secondary,no,Low-Medium,yes,no,no
Adult,Blue-Collar,married,primary,no,Negative,yes,yes,no
Young,White-Collar,single,secondary,no,Low-Medium,no,yes,no
Adult,Blue-Collar,single,secondary,no,Low-Medium,yes,no,no
Adult,White-Collar,single,tertiary,no,Low-Medium,no,yes,no
Adult,Blue-Collar,married,secondary,no,Low-Medium,yes,no,no
Adult,White-Collar,single,tertiary,no,Low-Medium,no,no,no
Adult,Blue-Collar,married,Unknown,no,Low-Medium,yes,no,no
Adult,White-Collar,single,tertiary,no,Low-Medium,no,yes,no
Adult,White-Collar,married,secondary,no,Low-Medium,yes,no,no
Adult,White-Collar,single,secondary,no,Low-Medium,no,no,no
Senior,Not-Working,married,primary,no,Low-Medium,no,no,yes
Adult,Blue-Collar,single,secondary,no,Low-Medium,yes,no,no
Adult,White-Collar,married,secondary,no,Low-Medium,no,no,no
Adult,Blue-Collar,married,secondary,no,Low-Medium,yes,no,no
Adult,Blue-Collar,divorced,secondary,no,Low-Medium,yes,no,no
Adult,Blue-Collar,single,tertiary,no,Low-Medium,no,no,no
Adult,White-Collar,single,tertiary,no,Low-Medium,no,no,no
Adult,Blue-Collar,married,primary,no,Low-Medium,yes,no,no
Young,Blue-Collar,married,secondary,no,Low-Medium,no,no,no
Adult,Blue-Collar,divorced,secondary,no,Low-Medium,yes,no,no
Young,Not-Working,single,secondary,no,High,no,no,no
Adult,White-Collar,divorced,secondary,no,Low-Medium,yes,yes,no
Adult,Blue-Collar,married,secondary,no,Low-Medium,yes,no,no
Adult,Blue-Collar,married,tertiary,no,Low-Medium,no,no,no
Adult,Blue-Collar,married,Unknown,no,Low-Medium,no,no,no
Adult,White-Collar,married,secondary,no,Negative,yes,no,no
Adult,Blue-Collar,married,secondary,no,Low-Medium,yes,no,no
Adult,White-Collar,married,tertiary,yes,Low-Medium,no,no,no
Adult,White-Collar,married,primary,no,Low-Medium,yes,no,no
Adult,Blue-Collar,married,primary,no,Low-Medium,yes,no,no
Adult,White-Collar,married,secondary,no,Low-Medium,no,no,no
Adult,White-Collar,single,secondary,no,Low-Medium,yes,no,no
Adult,Not-Working,married,secondary,no,Low-Medium,no,no,yes
