0,None,None,*
114,Low,Some,*
401,Low,Some,*
594,Low,Some,*
914,Low,Some,*
991,Low,Some,*
1055,Low,Some,*
1086,Low,Some,*
1111,Low,Some,*
1151,Low,Some,*
1173,Low,Some,*
1264,Low,Some,*
1409,Low,Some,*
1424,Low,Some,*
1455,Low,Some,*
1471,Low,Some,*
1506,Low,Some,*
1639,Low,Some,*
1731,Low,Some,*
1797,Low,Some,*
1831,Low,Some,*
1848,Low,Some,*
2009,Low,Some,*
2036,Low,Some,*
2050,Low,Some,*
2062,Low,Some,*
2105,Low,Some,*
2174,Low,Some,*
2176,Low,Some,*
2202,Low,Some,*
2228,Low,Some,*
2290,Low,Some,*
2329,Low,Some,*
2346,Low,Some,*
2354,Low,Some,*
2387,Low,Some,*
2407,Low,Some,*
2414,Low,Some,*
2463,Low,Some,*
2538,Low,Some,*
2580,Low,Some,*
2597,Low,Some,*
2635,Low,Some,*
2653,Low,Some,*
2829,Low,Some,*
2885,Low,Some,*
2907,Low,Some,*
2936,Low,Some,*
2961,Low,Some,*
2964,Low,Some,*
2977,Low,Some,*
2993,Low,Some,*
3103,Low,Some,*
3137,Low,Some,*
3273,Low,Some,*
3325,Low,Some,*
3411,Low,Some,*
3418,Low,Some,*
3432,Low,Some,*
3456,Low,Some,*
3464,Low,Some,*
3471,Low,Some,*
3674,Low,Some,*
3781,Low,Some,*
3818,Low,Some,*
3887,Low,Some,*
3908,Low,Some,*
3942,Low,Some,*
4064,Low,Some,*
4101,Low,Some,*
4386,Low,Some,*
4416,Low,Some,*
4508,Low,Some,*
4650,Low,Some,*
4687,Low,Some,*
4787,Low,Some,*
4865,Low,Some,*
4931,Low,Some,*
4934,Low,Some,*
5013,Medium,Some,*
5060,Medium,Some,*
5178,Medium,Some,*
5455,Medium,Some,*
5556,Medium,Some,*
5721,Medium,Some,*
6097,Medium,Some,*
6360,Medium,Some,*
6418,Medium,Some,*
6497,Medium,Some,*
6514,Medium,Some,*
6612,Medium,Some,*
6723,Medium,Some,*
6767,Medium,Some,*
6849,Medium,Some,*
7262,Medium,Some,*
7298,Medium,Some,*
7430,Medium,Some,*
7443,Medium,Some,*
7688,Medium,Some,*
7896,Medium,Some,*
7978,Medium,Some,*
8614,Medium,Some,*
9386,Medium,Some,*
9562,Medium,Some,*
10520,Medium,Some,*
10566,Medium,Some,*
10605,Medium,Some,*
11678,Medium,Some,*
13550,Medium,Some,*
14084,Medium,Some,*
14344,Medium,Some,*
15020,Medium,Some,*
15024,Medium,Some,*
15831,Medium,Some,*
18481,Medium,Some,*
20051,High,Some,*
22040,High,Some,*
25124,High,Some,*
25236,High,Some,*
27828,High,Some,*
34095,High,Some,*
41310,High,Some,*
99999,High,Some,*
